incidentid,LocationID,CityCde,CityName,CountyCde,COUNTYNAMETXT,LocationTypeCde,LocationTypeDesc,LocDescription,LocStreetNumber,LocStreetDir,LocStreetName,LocStreetSfx,LocAptNumber,LocalRdwyNumber,LocZip,LocZipExtension,StateCde,LatDecimal,LatDegrees,LatMinutes,LongDecimal,LongDegrees,LongMinutes,MilePointNumber,DirFromCityCde,MilesFromCity,Sector,InCityLimits,IncidentLocationTypeCde,RdwyNumber
22721943,30210310,7301,PADUCAH,73,MCCRACKEN,20,,801 MCGUIRE AVE,801,,MCGUIRE,AVE,B4,,42001,,KY,37.08098295,37,4.859,-88.63984239,88,38.391,0.078,,,3,TRUE,1,
22721945,30210311,7301,PADUCAH,73,MCCRACKEN,20,,RUPP RESIDENCE,2122,,YEISER,ST,,,42003,,KY,37.06508411,37,3.905,-88.58267564,88,34.961,0.127,,,6,TRUE,1,
22723068,30211536,7301,PADUCAH,73,MCCRACKEN,41,,PADUCAH TILGHMAN,2400,,WASHINGTON,ST,,,42001,,KY,37.07339584,37,4.404,-88.62478818,88,37.487,1.465,,,4,TRUE,1,
22723074,30211541,7301,PADUCAH,73,MCCRACKEN,8,,WALMART,3220,,US60,,,,42001,,KY,37.05274759,37,3.165,-88.56878662,88,34.127,17.238,,,6,TRUE,1,US0060
22726672,30216184,7301,PADUCAH,73,MCCRACKEN,20,,APARTMENT OF MELISSA PEYTON,2435,S,25TH,ST,1,,42003,,KY,37.06762722,37,4.058,-88.62127104,88,37.276,0.479,,,4,TRUE,1,
22728827,30218979,7301,PADUCAH,73,MCCRACKEN,20,,1164 ELMDALE DR,1164,,ELMDALE,DR,E,,42003,,KY,37.0502924,37,3.018,-88.64144946,88,38.487,0.688,,,5,TRUE,1,
22728828,30218980,7301,PADUCAH,73,MCCRACKEN,20,,EDWARD THURBY RESIDENCE,1634,,BLOOM,AVE,,,42001,,KY,37.06375693,37,3.825,-88.60455525,88,36.273,0.135,,,2,TRUE,1,
22728829,30218981,7301,PADUCAH,73,MCCRACKEN,20,,JACKSON HOUSE,301,S,9TH,ST,,,42001,,KY,37.08167333,37,4.9,-88.60272509,88,36.164,0.194,,,2,TRUE,1,
22728830,30218982,7301,PADUCAH,73,MCCRACKEN,20,,1110 HILL ST,1110,,HILL,ST,,,42003,,KY,37.05537472,37,3.322,-88.61425808,88,36.855,0.055,,,4,,1,
22728832,30218984,7301,PADUCAH,73,MCCRACKEN,20,,646 JAMESWOOD DR,646,,JAMESWOOD,DR,C,,42001,,KY,37.05001833,37,3.001,-88.64287284,88,38.572,0.143,,,5,TRUE,1,
22728833,30218985,7301,PADUCAH,73,MCCRACKEN,17,,SMOKE SHOP,1950,,US45,,,,42003,,KY,37.04934834,37,2.961,-88.65361839,88,39.217,7.753,,,5,TRUE,1,US0045
22728835,30218987,7301,PADUCAH,73,MCCRACKEN,20,,EDWARD THURBY RESIDENCE,1634,,BLOOM,AVE,,,42001,,KY,37.06375693,37,3.825,-88.60455525,88,36.273,0.135,,,2,,1,
22728839,30218991,7301,PADUCAH,73,MCCRACKEN,20,,ALAN HERSHA RESIDENCE,3240,,LORINE,LN,,,42001,,KY,37.07953872,37,4.772,-88.64794552,88,38.877,0.082,,,3,TRUE,1,
22728865,30219029,7301,PADUCAH,73,MCCRACKEN,11,,MCCRACKEN COUNTY LIBRARY,555,,WASHINGTON,ST,,,42003,,KY,37.08406496,37,5.044,-88.59858871,88,35.915,0.218,,,2,TRUE,1,
22728866,30219030,7301,PADUCAH,73,MCCRACKEN,8,,DOLLAR GENERAL,3300,,US60,,,,42003,,KY,37.05195422,37,3.117,-88.56823206,88,34.094,17.301,,,6,TRUE,1,US0060
22728867,30219031,7301,PADUCAH,73,MCCRACKEN,20,,340 N 16TH ST,340,N,16TH,ST,,,42001,,KY,37.08240435,37,4.944,-88.61686485,88,37.012,0.216,,,1,TRUE,1,
22733569,30224535,7301,PADUCAH,73,MCCRACKEN,18,,RING RD,,,RING,RD,,,42001,,KY,37.07842837,37,4.706,-88.68589795,88,41.154,0.074,,,7,TRUE,1,
22734458,30225690,7301,PADUCAH,73,MCCRACKEN,20,,SIMPSON/LEWIS RESIDENCE,1201,,STARKE,AVE,,,42001,,KY,37.05581061,37,3.349,-88.61860233,88,37.116,0.031,,,4,TRUE,1,
22742194,30234234,7301,PADUCAH,73,MCCRACKEN,20,,2945 CORNELL ST,2945,,CORNELL,ST,,,42001,,KY,37.06028704,37,3.617,-88.61821013,88,37.093,0.218,,,4,TRUE,1,
22742205,30234244,7301,PADUCAH,73,MCCRACKEN,8,,WALMART,3220,,US60,,,,42003,,KY,37.05110029,37,3.066,-88.56750993,88,34.051,17.373,,,6,TRUE,1,US0060
22742837,30234986,7301,PADUCAH,73,MCCRACKEN,12,,CASH SAVERS,2969,,US45,,,,42003,,KY,37.06666465,37,4,-88.63142824,88,37.886,9.647,,,4,TRUE,1,US0045
